name,id,age,address,email,pregnant,several,disabled,oxigen
Michael Marks,1865437145,73,Villa del Rosario,michaelmarks7332@gmail.com,5,7,0,4
Channing Mcneil,1176200551,7,San Vicente del Caguán,channingmcneil@yahoo.com,4,10,0,2
Madaline Sanford,1761926168,62,Sincelejo,madalinesanford@yahoo.com,3,4,1,2
Daryl Santiago,1350217280,49,San Andrés,darylsantiago7987@hotmail.com,1,4,1,10
Aurelia Gonzales,1478752681,79,Manizales,aureliagonzales@hotmail.com,4,6,10,7
Farrah Hutchinson,1838891505,18,Manizales,farrahhutchinson@hotmail.com,9,2,5,8
Olivia Juarez,1086917435,24,Bucaramanga,oliviajuarez@hotmail.com,8,2,4,3
Kylynn Simpson,1025130884,52,Villa del Rosario,kylynnsimpson5528@hotmail.com,6,8,6,6
Cally Spears,1753118492,13,Leticia,callyspears1912@gmail.com,8,6,5,9
Branden Stevenson,1633249543,14,Villa del Rosario,brandenstevenson7978@yahoo.com,3,1,6,2
Lois Downs,1683244835,21,Plato,loisdowns@outlook.com,3,5,4,3
Todd Anthony,1275691209,68,Riosucio,toddanthony9791@yahoo.com,6,1,1,8
Anne Garza,1878150481,66,Istmina,annegarza3310@yahoo.com,5,3,4,5
Colby Ratliff,1941961397,83,Cumaribo,colbyratliff@gmail.com,4,0,9,4
Reed Vinson,1614645736,73,Alto Baudó,reedvinson6964@yahoo.com,1,1,8,3
Malcolm William,1790376701,10,La Dorada,malcolmwilliam@gmail.com,7,10,7,4
Myles Arnold,1053253051,33,Pamplona,mylesarnold5254@hotmail.com,2,3,1,5
Holly Herrera,1988571216,67,Medellín,hollyherrera@yahoo.com,3,7,5,4
Kennedy Finch,1575074133,78,Popayán,kennedyfinch@hotmail.com,10,1,8,8
Oliver Moreno,1834147066,65,Montelíbano,olivermoreno7823@outlook.com,5,5,1,4
Cullen Blair,1157954854,84,Garzón,cullenblair@yahoo.com,2,2,4,1
Brian Workman,1567763552,38,San Andrés,brianworkman@yahoo.com,3,4,10,1
Quon Cantu,1542328286,78,Montería,quoncantu3304@outlook.com,1,9,7,8
Jemima Britt,1848568759,89,Inírida,jemimabritt6343@gmail.com,5,7,8,6
Teegan Moran,1261546518,66,Villa del Rosario,teeganmoran1120@yahoo.com,6,8,6,4
Griffith Price,1202340104,64,Yopal,griffithprice@outlook.com,9,8,3,3
Genevieve Valenzuela,1826265551,2,San Andrés,genevievevalenzuela125@hotmail.com,7,8,8,5
Lunea Norton,1051486458,8,Medellín,luneanorton@hotmail.com,1,1,9,7
Rooney Moody,1046368171,48,Barranco Minas,rooneymoody@hotmail.com,5,7,4,9
Colleen Mathis,1041177123,12,Buenaventura,colleenmathis@gmail.com,7,9,1,4
Alexander Kidd,1082549385,89,Acacías,alexanderkidd9183@yahoo.com,6,4,3,1
Indira Boyle,1468554286,73,Aguazul,indiraboyle8925@gmail.com,4,6,6,8
Hamilton Riddle,1715507741,17,Chía,hamiltonriddle@yahoo.com,9,8,6,9
Kathleen Branch,1256902000,39,Tumaco,kathleenbranch6635@outlook.com,4,8,8,1
Brenda Pittman,1563975387,81,Villavicencio,brendapittman4506@outlook.com,1,7,9,6
Keely Oliver,1736192341,14,Agustín Codazzi,keelyoliver4477@gmail.com,10,7,5,9
Cadman Skinner,1826345649,56,Cartagena,cadmanskinner@yahoo.com,5,8,4,2
Gabriel Burton,1668074978,13,Valledupar,gabrielburton@yahoo.com,8,6,2,6
Yvette Henson,1703557261,69,Sincelejo,yvettehenson@outlook.com,10,5,5,3
Lunea Terrell,1900877215,31,San Marcos,luneaterrell@hotmail.com,10,3,3,3
Ian Bullock,1317490383,27,Cali,ianbullock@hotmail.com,6,6,7,1
Laura Owens,1440340621,50,Tunja,lauraowens@outlook.com,3,1,4,6
Ian Wilcox,1563687006,7,Cúcuta,ianwilcox@outlook.com,9,6,4,6
Roth Weiss,1686944411,64,Cartagena del Chairá,rothweiss@yahoo.com,5,1,1,9
Xyla Allison,1221404885,21,Pacoa,xylaallison@hotmail.com,3,5,7,5
Emmanuel Beard,1048414847,16,El Tambo,emmanuelbeard3994@yahoo.com,6,4,6,5
Isaiah Sutton,1144020531,9,Barranco Minas,isaiahsutton3340@gmail.com,3,3,0,0
Eugenia Gamble,1202776102,31,Magangué,eugeniagamble3557@gmail.com,6,3,6,1
Zephr Douglas,1064717602,10,La Dorada,zephrdouglas5663@gmail.com,7,4,7,7
Jelani Alexander,1256393702,10,Santa Rosa de Cabal,jelanialexander@hotmail.com,7,1,6,1
Phelan Valentine,1912760417,10,Villavicencio,phelanvalentine6015@hotmail.com,3,5,6,6
Isaiah Riddle,1069077622,8,Pereira,isaiahriddle5152@outlook.com,9,1,1,5
Tobias Berger,1823791825,18,Cereté,tobiasberger@outlook.com,1,5,10,1
Graham Diaz,1497885540,35,Corozal,grahamdiaz@outlook.com,1,7,8,5
Allistair Crawford,1067470941,31,Santa Rosa de Cabal,allistaircrawford@gmail.com,0,2,9,9
Lawrence Sears,1582479905,55,Calarcá,lawrencesears@yahoo.com,4,4,3,5
Zane Kaufman,1766902937,32,Pereira,zanekaufman4375@hotmail.com,2,7,8,3
Andrew Harris,1167316279,40,Girardot,andrewharris345@yahoo.com,6,9,8,4
Gail Noel,1806143813,44,Manizales,gailnoel@outlook.com,1,5,5,1
Ashton Green,1006305273,74,Bogotá,ashtongreen17@outlook.com,0,0,5,1
Kay Watkins,1139338409,13,Sincelejo,kaywatkins2216@yahoo.com,6,8,8,7
Maggie Baker,1014437012,68,Chiquinquirá,maggiebaker6648@hotmail.com,2,2,5,1
Amelia Ramsey,1190492319,0,Medio Atrato,ameliaramsey2540@outlook.com,5,6,5,1
Kennan Clements,1172257464,18,Paz de Ariporo,kennanclements9287@outlook.com,7,9,8,8
Ishmael Wright,1263231797,49,Duitama,ishmaelwright@outlook.com,7,3,6,6
Lance Berry,1757609103,0,Saravena,lanceberry571@hotmail.com,4,6,5,7
Victor Oliver,1099506278,33,Carmen de Bolivar,victoroliver7127@yahoo.com,9,5,5,8
Alfonso Le,1359921218,60,Ocaña,alfonsole4637@yahoo.com,4,2,3,6
Rylee Park,1632708247,80,Santander de Quilichao,ryleepark1152@hotmail.com,6,9,1,5
Galena Ortega,1973911540,70,Carmen de Bolivar,galenaortega2312@hotmail.com,0,8,6,4
Myra Wilkerson,1576355749,50,La Plata,myrawilkerson7842@gmail.com,1,4,4,8
Moses Heath,1431458570,38,Ibagué,mosesheath9379@gmail.com,0,8,1,2
Ryder Hodge,1950576753,72,Fusagasugá,ryderhodge@hotmail.com,5,2,6,9
Alfonso Campbell,1483238816,17,Uribia,alfonsocampbell5398@outlook.com,6,7,9,0
Ralph Marshall,1387088598,56,San Andrés,ralphmarshall1881@yahoo.com,3,8,8,1
Owen Hardy,1399875728,7,Tame,owenhardy7711@gmail.com,6,6,5,3
Lynn Howard,1184639703,77,El Tambo,lynnhoward660@gmail.com,5,9,5,7
Alec Coleman,1033896664,26,Mitú,aleccoleman@gmail.com,1,1,5,10
Guy Guerrero,1072609260,88,Bogotá,guyguerrero7975@gmail.com,8,5,10,5
Timothy Barton,1976795490,85,Armenia,timothybarton4011@outlook.com,8,1,6,6
Ursa Phelps,1650968984,88,Mitú,ursaphelps8472@yahoo.com,6,1,1,8
MacKensie Maldonado,1477449148,1,Garzón,mackensiemaldonado9834@gmail.com,6,5,5,8
Evelyn Alford,1773708889,67,Agustín Codazzi,evelynalford@hotmail.com,1,9,5,6
Hayley Chavez,1150121186,78,Alto Baudó,hayleychavez3662@yahoo.com,1,0,9,6
Xena Quinn,1329189200,11,Mapiripana,xenaquinn@yahoo.com,0,7,9,4
Lester Morales,1999592934,5,Pereira,lestermorales5158@hotmail.com,0,1,10,3
Alyssa Kramer,1399732573,80,San Marcos,alyssakramer@outlook.com,6,5,10,4
Mara Daniel,1945145892,60,La Tebaida,maradaniel8560@outlook.com,0,5,5,9
Aaron Wallace,1743694874,84,Maicao,aaronwallace4847@yahoo.com,1,6,7,1
Holly Sheppard,1194861722,86,Agustín Codazzi,hollysheppard8393@yahoo.com,6,6,10,0
Knox Nunez,1367385585,46,San Andrés,knoxnunez@yahoo.com,0,3,9,1
Kasimir Garcia,1981786853,90,Agustín Codazzi,kasimirgarcia4856@yahoo.com,2,2,5,4
Gil Shaw,1397099555,21,Ibagué,gilshaw@yahoo.com,4,5,4,2
Amela Cross,1802685456,80,Buenaventura,amelacross4420@yahoo.com,2,3,8,9
Aretha West,1350138590,19,San Marcos,arethawest4371@outlook.com,5,3,5,3
Daquan Marsh,1018047792,12,Apartadó,daquanmarsh2294@gmail.com,3,3,8,6
Connor Wooten,1111973555,62,Tierralta,connorwooten8606@yahoo.com,8,6,3,1
Kay Hamilton,1162896308,29,Neiva,kayhamilton9680@hotmail.com,10,7,1,8
Jakeem Bray,1495584805,29,Cartagena,jakeembray3983@hotmail.com,1,9,9,5
Florence Marks,1914038357,84,Puerto Asís,florencemarks@yahoo.com,7,2,5,10
Evan Sparks,1558503147,53,Neiva,evansparks@outlook.com,5,2,10,5
Katell Riley,1221542192,37,Manaure,katellriley3910@gmail.com,7,5,6,5
Tate Hayes,1854004240,31,Sogamoso,tatehayes24@gmail.com,7,8,1,2
Micah Huber,1765316703,66,Ibagué,micahhuber4563@outlook.com,4,1,8,10
Gavin Harrison,1901230665,72,Mocoa,gavinharrison@hotmail.com,1,7,9,6
Charles Fletcher,1064780162,38,Montería,charlesfletcher6053@hotmail.com,3,8,5,1
Craig Parks,1243433401,79,Palmira,craigparks@gmail.com,9,9,5,4
Quamar Crawford,1866402143,33,Palmira,quamarcrawford@hotmail.com,2,9,1,3
Demetrius Hooper,1035351796,73,Fundación,demetriushooper1312@yahoo.com,9,3,2,6
Odessa Nolan,1471398702,37,Puerto Nariño,odessanolan@gmail.com,0,6,7,4
Tarik Cummings,1270493808,1,Manaure,tarikcummings@gmail.com,6,1,6,7
Ethan Mosley,1766370646,79,Tierralta,ethanmosley@yahoo.com,3,0,2,3
Marcia Guthrie,1235018765,30,Puerto Asís,marciaguthrie@hotmail.com,7,0,6,1
Regina Beach,1835579312,38,Mocoa,reginabeach1050@hotmail.com,8,3,9,7
Charde Reyes,1641091697,0,Villa del Rosario,chardereyes@hotmail.com,5,2,9,0
Lara Sellers,1089438891,27,San Andrés,larasellers3660@outlook.com,1,1,5,3
Samantha Joyner,1248858806,40,Riosucio,samanthajoyner764@yahoo.com,10,7,8,10
Sebastian Morin,1507759058,86,La Dorada,sebastianmorin@hotmail.com,2,4,2,4
Maia Roberts,1445590994,60,Florencia,maiaroberts7899@outlook.com,1,7,0,9
Hedwig Greene,1246149167,80,Riosucio,hedwiggreene@outlook.com,1,8,2,6
Patrick Stephenson,1554632568,27,Chiquinquirá,patrickstephenson@gmail.com,5,3,2,6
Scarlett Peterson,1555274628,52,Uribia,scarlettpeterson@outlook.com,1,1,1,2
Allen Albert,1426954062,72,Granada,allenalbert@outlook.com,7,9,9,1
Frances Jacobson,1203790883,10,Calarcá,francesjacobson@yahoo.com,9,5,9,1
Guinevere Hunt,1213472104,25,Envigado,guineverehunt@yahoo.com,0,8,4,3
Allistair Harvey,1625051319,52,Arauca,allistairharvey@outlook.com,4,10,9,8
Azalia Key,1774502623,21,Palmira,azaliakey4058@gmail.com,3,8,8,0
Hoyt Crosby,1267927474,71,Piedecuesta,hoytcrosby4909@gmail.com,3,1,3,10
Lee Talley,1994735514,12,San Marcos,leetalley3354@yahoo.com,9,2,8,4
Briar Goff,1023598391,87,Medellín,briargoff1479@outlook.com,0,1,4,8
Chaim Bridges,1203121607,84,Ibagué,chaimbridges@outlook.com,6,1,6,9
James Puckett,1900868492,7,Duitama,jamespuckett@yahoo.com,2,8,2,9
Lavinia Jones,1130981550,45,Arauca,laviniajones@yahoo.com,5,4,8,2
Asher Mccarthy,1126526645,79,Palmira,ashermccarthy1893@yahoo.com,4,1,5,6
Colton Sullivan,1468169978,21,Itagüí,coltonsullivan@yahoo.com,2,4,4,6
Chase Cotton,1464037268,39,Bogotá,chasecotton@gmail.com,5,5,1,10
Marvin Moses,1932922370,53,Aguachica,marvinmoses9368@hotmail.com,0,4,7,4
Plato Roach,1309769213,77,Pereira,platoroach@outlook.com,4,3,1,8
Malachi Kaufman,1236545550,60,Cartagena,malachikaufman754@yahoo.com,8,8,7,3
Fritz Suarez,1565721681,84,Dosquebradas,fritzsuarez8080@gmail.com,9,9,9,6
Scarlet Holman,1430291071,7,Pereira,scarletholman212@gmail.com,9,4,1,4
Veronica Wong,1231422956,75,Arauca,veronicawong2936@yahoo.com,5,1,2,6
Colt Yang,1861815484,38,Medio Atrato,coltyang@outlook.com,10,5,2,5
Christian Craft,1754819576,31,Manaure,christiancraft1049@yahoo.com,8,3,7,6
Ann Moore,1847580311,31,Barranco Minas,annmoore4029@outlook.com,9,9,10,5
Wesley Roy,1176045616,0,San Andrés,wesleyroy876@yahoo.com,8,8,1,2
Yen Gonzales,1540249434,26,Ipiales,yengonzales7238@hotmail.com,5,8,7,2
Irma Holt,1539309147,61,Carmen de Bolivar,irmaholt@gmail.com,5,1,5,4
Astra Frank,1362060749,49,Pitalito,astrafrank@gmail.com,3,7,4,7
Emily Mcdaniel,1379944043,80,Girardot,emilymcdaniel@gmail.com,5,9,3,3
Quinlan Dennis,1820028285,65,Yopal,quinlandennis@hotmail.com,8,1,2,8
Tanisha Bird,1049292789,3,Turbo,tanishabird@gmail.com,2,6,2,8
Aristotle Frye,1053450935,44,Armenia,aristotlefrye@yahoo.com,5,5,3,2
Kamal Mendez,1793446857,27,Ibagué,kamalmendez2866@yahoo.com,1,10,0,5
Dustin Clay,1356863400,8,Quibdó,dustinclay3790@outlook.com,8,10,6,5
Cheyenne Gallagher,1905755516,66,Palmira,cheyennegallagher@gmail.com,8,7,7,6
Lani Pickett,1784442888,47,Santa Rosa de Cabal,lanipickett@hotmail.com,2,7,5,3
Miranda Mckenzie,1634406517,54,Rionegro,mirandamckenzie1802@hotmail.com,1,4,9,3
Isaiah Odom,1163544143,75,Carmen de Bolivar,isaiahodom@gmail.com,8,8,5,3
Illana Sheppard,1305567920,56,Puerto Carreño,illanasheppard@gmail.com,7,5,4,4
Ray Potter,1684800825,43,Aguazul,raypotter@hotmail.com,0,4,6,4
Darius Fuller,1675246984,10,Puerto Guzmán,dariusfuller5983@hotmail.com,4,5,5,0
Kibo Lucas,1827635926,14,Manizales,kibolucas5236@gmail.com,4,5,4,8
Stacey Gill,1661565547,69,Puerto Carreño,staceygill@gmail.com,3,6,3,5
Jaquelyn Nieves,1112249001,84,Santa Rosa de Cabal,jaquelynnieves4053@gmail.com,7,6,7,0
Carlos Dunlap,1433430180,54,Ibagué,carlosdunlap1672@outlook.com,9,8,9,7
Benjamin Mckay,1856390182,32,Bogotá,benjaminmckay@hotmail.com,5,4,1,6
Cora Richmond,1725993395,18,Pacoa,corarichmond5848@outlook.com,9,10,2,7
Colleen Holder,1203836763,56,Pacoa,colleenholder@yahoo.com,9,2,5,1
Austin Reese,1671498390,45,Barranquilla,austinreese4315@yahoo.com,2,4,6,7
Hadassah Smith,1962302915,64,Quimbaya,hadassahsmith@hotmail.com,4,3,10,0
Dennis Brewer,1439638322,52,La Plata,dennisbrewer1071@yahoo.com,0,8,8,4
Jescie Horn,1569695234,29,Puerto López,jesciehorn3241@hotmail.com,8,5,6,4
Serina Snow,1384260844,14,Valle del Guamuez,serinasnow@hotmail.com,3,9,3,0
Bruce Welch,1111599369,60,Santa Rosa de Cabal,brucewelch@gmail.com,10,1,4,3
Hiram Sparks,1213062406,24,La Tebaida,hiramsparks82@hotmail.com,2,4,8,5
Adria Sanford,1229406283,65,Cartagena del Chairá,adriasanford@gmail.com,8,2,7,3
Uriel Rush,1986780294,64,Barrancabermeja,urielrush@outlook.com,8,7,0,6
Isabelle Daniel,1967527673,69,Cumaribo,isabelledaniel8845@yahoo.com,3,3,7,4
Rafael Clay,1132475591,63,Tunja,rafaelclay@outlook.com,4,7,8,3
Serena Riggs,1669282106,67,Saravena,serenariggs4289@yahoo.com,6,1,3,5
Candice Wallace,1580483585,20,Turbo,candicewallace6225@yahoo.com,3,9,3,4
Cody Lowe,1363926469,59,San Andrés,codylowe@yahoo.com,7,1,4,6
Portia Goodman,1674513748,87,Quimbaya,portiagoodman7867@yahoo.com,5,8,1,8
Octavius Fuller,1332145171,38,Aguachica,octaviusfuller4981@hotmail.com,6,8,4,8
